,tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id
0,2023-07-02,P032,Mouse,Elektronik,1207.3,13,15694.9,9225
1,2024-02-11,P011,Kalem,Kırtasiye,237.14,16,3794.24,3955
2,2023-03-06,P024,Bilgisayar,Elektronik,1024.29,9,9218.61,2367
3,2024-04-11,P063,Klima,Elektronik,1477.88,9,13300920000000000,2869
4,2024-01-08,P063,Klima,Elektronik,949.43,19,18039.17,9724
5,2023-06-20,P037,Fırın,Ev Aletleri,266.4,10,2664.0,7948
6,2023-08-22,P082,Defter,Kırtasiye,1290.3,8,10322.4,4184
7,2024-05-11,P063,Klima,Elektronik,627.78,17,10672.26,1522
8,2024-07-26,P010,Çanta,Giyim,749.39,8,5995.12,5504
9,2023-03-15,P082,Defter,Kırtasiye,193.65,16,3098.4,1722
10,2023-04-26,P037,Fırın,Ev Aletleri,362.96,15,5444.4,2678
11,2024-05-19,P011,Kalem,Kırtasiye,577.19,16,9235.04,9408
12,2024-03-20,P024,Bilgisayar,Elektronik,1302.35,7,9116.45,2863
13,2023-09-01,P063,Klima,Elektronik,270.14,13,3511.82,6923
14,2023-03-11,P010,Çanta,Giyim,990.12,10,9901.2,4678
15,2024-06-08,P082,Defter,Kırtasiye,1221.37,6,7328219999999990,4666
16,2023-12-27,P097,Su Şişesi,Mutfak Ürünleri,976.99,19,18562.81,4778
17,2023-10-25,P011,Kalem,Kırtasiye,1245.33,18,22415.94,2043
18,2024-05-01,P082,Defter,Kırtasiye,682.11,9,6138.99,6732
19,2024-09-21,P082,Defter,Kırtasiye,1117.5,1,1117.5,7103
20,2023-02-03,P097,Su Şişesi,Mutfak Ürünleri,455.04,4,1820.16,1361
21,2023-10-27,P010,Çanta,Giyim,1207.15,10,12071.5,8626
22,2023-11-03,P097,Su Şişesi,Mutfak Ürünleri,324.84,2,649.68,9754
23,2024-09-16,P032,Mouse,Elektronik,926.76,3,2780.28,4046
24,2024-10-14,P097,Su Şişesi,Mutfak Ürünleri,921.73,12,11060.76,3883
25,2023-12-25,P087,Kulaklık,Elektronik,1074.51,3,3223.53,2144
26,2023-05-30,P024,Bilgisayar,Elektronik,78.34,7,548.38,3393
27,2024-03-31,P082,Defter,Kırtasiye,420.9,3,12626999999999900,7110
28,2023-02-01,P011,Kalem,Kırtasiye,740.2,8,5921.6,9977
29,2023-11-21,P087,Kulaklık,Elektronik,1265.21,18,22773.78,2161
30,2023-05-20,P087,Kulaklık,Elektronik,1487.71,14,20827.94,5038
31,2023-11-08,P063,Klima,Elektronik,1142.15,3,34264500000000000,9142
32,2024-05-08,P024,Bilgisayar,Elektronik,839.93,10,8399.3,8147
33,2024-10-03,P082,Defter,Kırtasiye,805.94,5,4029.7,8258
34,2023-08-21,P018,Telefon,Elektronik,682.65,14,9557.1,9548
35,2024-02-18,P097,Su Şişesi,Mutfak Ürünleri,489.8,7,3428.6,2822
36,2024-03-03,P037,Fırın,Ev Aletleri,751.52,18,13527.36,9665
37,2022-11-28,P018,Telefon,Elektronik,1272.82,15,19092.3,5689
38,2023-09-28,P011,Kalem,Kırtasiye,916.33,13,11912.29,1592
39,2023-05-15,P010,Çanta,Giyim,1145.39,4,4581.56,7751
40,2024-05-24,P010,Çanta,Giyim,352.22,18,6339960000000000,7099
41,2023-06-18,P097,Su Şişesi,Mutfak Ürünleri,444.14,6,2664.84,1496
42,2024-03-22,P024,Bilgisayar,Elektronik,1081.54,1,1081.54,2618
43,2024-04-18,P063,Klima,Elektronik,527.11,16,8433.76,7734
44,2023-01-20,P024,Bilgisayar,Elektronik,1187.65,5,5938.25,9363
45,2024-09-08,P082,Defter,Kırtasiye,703.97,3,2111.91,3933
46,2023-05-08,P037,Fırın,Ev Aletleri,976.12,5,4880.6,7704
47,2024-02-18,P032,Mouse,Elektronik,1234.59,13,16049669999999900,4787
48,2022-11-21,P032,Mouse,Elektronik,946.98,5,4734.9,1752
49,2023-08-08,P037,Fırın,Ev Aletleri,1111.47,10,11114.7,9608
50,2023-03-27,P018,Telefon,Elektronik,1215.91,7,8511.37,5355
51,2024-04-22,P082,Defter,Kırtasiye,703.04,9,6327.36,9023
52,2023-08-01,P032,Mouse,Elektronik,244.96,9,2204.64,5903
53,2023-09-12,P082,Defter,Kırtasiye,239.63,1,239.63,2829
54,2023-04-19,P011,Kalem,Kırtasiye,317.39,1,317.39,2585
55,2024-07-09,P082,Defter,Kırtasiye,576.29,11,6339.19,5447
56,2023-12-31,P018,Telefon,Elektronik,745.74,5,3728.7,7228
57,2023-02-22,P082,Defter,Kırtasiye,984.53,15,14767.95,6465
58,2023-11-27,P082,Defter,Kırtasiye,728.85,8,5830.8,6967
59,2024-06-02,P037,Fırın,Ev Aletleri,1337.33,4,5349.32,7483
60,2024-08-23,P063,Klima,Elektronik,1305.45,11,14359.95,4871
61,2023-10-27,P087,Kulaklık,Elektronik,512.56,19,9738.64,1605
62,2022-12-01,P018,Telefon,Elektronik,721.03,13,9373.39,8347
63,2023-03-06,P037,Fırın,Ev Aletleri,1255.55,12,15066.6,3716
64,2023-07-22,P037,Fırın,Ev Aletleri,890.04,1,890.04,3354
65,2022-12-31,P010,Çanta,Giyim,1379.66,2,2759.32,7465
66,2023-11-19,P097,Su Şişesi,Mutfak Ürünleri,1244.44,5,6222200000000000,1521
67,2023-11-16,P032,Mouse,Elektronik,1054.7,15,15820.5,4625
68,2023-02-26,P010,Çanta,Giyim,1023.79,16,16380.64,3558
69,2023-09-09,P032,Mouse,Elektronik,1364.97,8,10919.76,9825
70,2024-02-24,P018,Telefon,Elektronik,1037.07,2,2074.14,2488
71,2024-07-30,P032,Mouse,Elektronik,1077.5,17,18317.5,1320
72,2024-07-26,P024,Bilgisayar,Elektronik,419.95,12,5039.4,5532
73,2024-03-01,P082,Defter,Kırtasiye,157.6,17,2679.2,8228
74,2023-11-27,P032,Mouse,Elektronik,737.35,18,13272.3,1176
75,2023-05-08,P010,Çanta,Giyim,683.74,11,7521.14,2851
76,2023-07-28,P082,Defter,Kırtasiye,1201.22,11,13213.42,4659
77,2023-09-05,P032,Mouse,Elektronik,1445.68,8,11565.44,7194
78,2023-02-03,P063,Klima,Elektronik,962.52,13,12512.76,4437
79,2024-08-12,P087,Kulaklık,Elektronik,337.3,8,2698.4,7497
80,2023-01-19,P024,Bilgisayar,Elektronik,87.22,16,1395.52,2132
81,2023-06-17,P087,Kulaklık,Elektronik,301.99,14,4227860000000000,9526
82,2023-07-16,P087,Kulaklık,Elektronik,1364.87,6,8189219999999990,8900
83,2024-01-10,P097,Su Şişesi,Mutfak Ürünleri,898.53,18,16173.54,3902
84,2024-04-26,P087,Kulaklık,Elektronik,1056.9,16,16910.4,3455
85,2023-06-10,P063,Klima,Elektronik,628.44,8,5027.52,4002
86,2024-01-12,P087,Kulaklık,Elektronik,421.58,18,7588.44,3819
87,2024-06-11,P037,Fırın,Ev Aletleri,671.85,7,4702.95,3515
88,2024-06-28,P063,Klima,Elektronik,48.36,3,14507999999999900,3142
89,2023-12-06,P024,Bilgisayar,Elektronik,305.07,1,305.07,2865
90,2024-02-16,P063,Klima,Elektronik,1186.05,11,13046.55,2325
91,2024-04-03,P087,Kulaklık,Elektronik,747.76,6,4486.56,6118
92,2023-01-09,P082,Defter,Kırtasiye,431.57,10,4315.7,9871
93,2024-01-27,P082,Defter,Kırtasiye,320.73,10,3207.3,4877
94,2023-08-11,P032,Mouse,Elektronik,377.77,18,6799.86,1304
95,2023-01-28,P087,Kulaklık,Elektronik,619.29,17,10527.93,2458
96,2024-09-13,P032,Mouse,Elektronik,130.55,9,1174.95,2402
97,2024-10-15,P011,Kalem,Kırtasiye,1403.81,5,7019049999999990,5809
98,2024-04-27,P010,Çanta,Giyim,1007.39,17,17125.63,4441
99,2023-11-28,P032,Mouse,Elektronik,551.17,8,4409.36,3063
100,2024-03-12,P037,Fırın,Ev Aletleri,855.19,12,10262.28,8844
101,2023-08-08,P063,Klima,Elektronik,24.23,3,72.69,5596
102,2023-01-31,P037,Fırın,Ev Aletleri,251.49,4,1005.96,2452
103,2024-01-08,P097,Su Şişesi,Mutfak Ürünleri,517.5,13,6727.5,1307
104,2024-03-03,P037,Fırın,Ev Aletleri,547.24,4,2188.96,5863
105,2022-12-01,P018,Telefon,Elektronik,707.89,15,10618.35,9485
106,2023-12-18,P037,Fırın,Ev Aletleri,454.66,15,6819900000000000,9002
107,2024-02-19,P063,Klima,Elektronik,1480.54,7,10363.78,4855
108,2023-12-24,P063,Klima,Elektronik,530.16,14,7422.24,3358
109,2023-09-19,P087,Kulaklık,Elektronik,1137.99,1,1137.99,6447
110,2023-08-16,P011,Kalem,Kırtasiye,1269.85,13,16508.05,7751
111,2023-12-03,P032,Mouse,Elektronik,782.3,9,7040.7,5798
112,2023-12-06,P063,Klima,Elektronik,551.27,8,4410.16,3684
113,2023-01-01,P032,Mouse,Elektronik,889.29,2,1778.58,4414
114,2023-08-23,P097,Su Şişesi,Mutfak Ürünleri,1064.36,5,5321799999999990,8411
115,2023-02-24,P032,Mouse,Elektronik,1204.46,1,1204.46,2662
116,2024-01-23,P010,Çanta,Giyim,300.98,2,601.96,3748
117,2023-10-21,P018,Telefon,Elektronik,901.09,8,7208.72,5765
118,2024-03-03,P018,Telefon,Elektronik,470.19,14,6582.66,1577
119,2024-01-22,P097,Su Şişesi,Mutfak Ürünleri,100.3,15,1504.5,3323
120,2024-10-04,P037,Fırın,Ev Aletleri,516.2,5,2581.0,4030
121,2023-05-27,P037,Fırın,Ev Aletleri,320.56,3,961.68,5486
122,2023-08-01,P010,Çanta,Giyim,597.41,14,8363.74,9282
123,2023-12-03,P024,Bilgisayar,Elektronik,1117.48,16,17879.68,9354
124,2023-08-24,P018,Telefon,Elektronik,154.83,14,21676200000000000,3050
125,2024-01-30,P024,Bilgisayar,Elektronik,1383.13,19,26279.47,1484
126,2023-04-22,P087,Kulaklık,Elektronik,709.18,11,7800.98,2523
127,2023-01-21,P063,Klima,Elektronik,1312.88,16,21006.08,7139
128,2023-09-08,P032,Mouse,Elektronik,1462.41,5,7312.05,9426
129,2023-07-08,P011,Kalem,Kırtasiye,32.18,2,64.36,9072
130,2024-06-08,P010,Çanta,Giyim,991.0,16,15856.0,7253
131,2023-10-15,P063,Klima,Elektronik,1360.87,10,13608.7,9732
132,2023-12-22,P087,Kulaklık,Elektronik,434.92,4,1739.68,1756
133,2023-10-11,P032,Mouse,Elektronik,675.89,13,8786.57,7710
134,2023-05-15,P037,Fırın,Ev Aletleri,1297.88,6,7787280000000000,1836
135,2023-12-18,P097,Su Şişesi,Mutfak Ürünleri,43.22,2,86.44,5360
136,2023-07-10,P011,Kalem,Kırtasiye,60.42,11,664.62,7083
137,2023-09-07,P011,Kalem,Kırtasiye,41.66,3,124.98,8509
138,2023-02-01,P037,Fırın,Ev Aletleri,670.88,13,8721.44,5798
139,2023-06-12,P018,Telefon,Elektronik,741.99,7,5193.93,3558
140,2023-01-12,P063,Klima,Elektronik,1228.14,3,3684.42,8889
141,2023-04-04,P024,Bilgisayar,Elektronik,1418.44,13,18439.72,5731
142,2023-03-18,P018,Telefon,Elektronik,125.51,9,1129.59,8095
143,2023-10-08,P082,Defter,Kırtasiye,1466.61,12,17599.32,9452
144,2024-10-24,P024,Bilgisayar,Elektronik,205.53,6,1233.18,2367
145,2023-06-04,P037,Fırın,Ev Aletleri,1220.21,1,1220.21,1494
146,2023-06-01,P024,Bilgisayar,Elektronik,1242.43,18,22363.74,4544
147,2024-04-19,P087,Kulaklık,Elektronik,429.0,10,4290.0,5198
148,2023-04-11,P032,Mouse,Elektronik,201.25,19,3823.75,2129
149,2022-12-09,P087,Kulaklık,Elektronik,1066.05,2,2132.1,9500
150,2023-09-03,P024,Bilgisayar,Elektronik,73.74,16,1179.84,7155
151,2024-02-05,P082,Defter,Kırtasiye,1054.46,15,15816.9,1907
152,2024-05-02,P087,Kulaklık,Elektronik,430.98,19,8188620000000000,9385
